Freq.	V(vout)/V(vin)
5.88843655355584e+002	(-4.12577610907526e+001dB,1.58155222417475e+002°)
6.02559586074353e+002	(-4.08824901105545e+001dB,1.57686260093546e+002°)
6.16595001861477e+002	(-4.05082363082288e+001dB,1.57208928331630e+002°)
6.30957344480188e+002	(-4.01350352231402e+001dB,1.56723182787550e+002°)
6.45654229034650e+002	(-3.97629231165387e+001dB,1.56228985586761e+002°)
6.60693448007591e+002	(-3.93919369428863e+001dB,1.55726305707004e+002°)
6.76082975391976e+002	(-3.90221143169984e+001dB,1.55215119362226e+002°)
6.91830970918931e+002	(-3.86534934768329e+001dB,1.54695410385943e+002°)
7.07945784384132e+002	(-3.82861132417740e+001dB,1.54167170611995e+002°)
7.24435960074984e+002	(-3.79200129662786e+001dB,1.53630400250537e+002°)
7.41310241300911e+002	(-3.75552324887724e+001dB,1.53085108256884e+002°)
7.58577575029177e+002	(-3.71918120757103e+001dB,1.52531312690735e+002°)
7.76247116628685e+002	(-3.68297923607440e+001dB,1.51969041063101e+002°)
7.94328234724275e+002	(-3.64692142789694e+001dB,1.51398330668158e+002°)
8.12830516164092e+002	(-3.61101189962658e+001dB,1.50819228897116e+002°)
8.31763771102664e+002	(-3.57525478337744e+001dB,1.50231793531095e+002°)
8.51138038202369e+002	(-3.53965421876064e+001dB,1.49636093009910e+002°)
8.70963589956073e+002	(-3.50421434439180e+001dB,1.49032206673624e+002°)
8.91250938133738e+002	(-3.46893928895326e+001dB,1.48420224973699e+002°)
9.12010839355902e+002	(-3.43383316183453e+001dB,1.47800249650564e+002°)
9.33254300796983e+002	(-3.39890004337913e+001dB,1.47172393874476e+002°)
9.54992586021428e+002	(-3.36414397477169e+001dB,1.46536782346619e+002°)
9.77237220955802e+002	(-3.32956894760407e+001dB,1.45893551357490e+002°)
9.99999999999991e+002	(-3.29517889316494e+001dB,1.45242848799805e+002°)
1.02329299228075e+003	(-3.26097767150218e+001dB,1.44584834133314e+002°)
1.04712854805089e+003	(-3.22696906031270e+001dB,1.43919678299205e+002°)
1.07151930523760e+003	(-3.19315674371891e+001dB,1.43247563582024e+002°)
1.09647819614318e+003	(-3.15954430099560e+001dB,1.42568683417387e+002°)
1.12201845430195e+003	(-3.12613519531496e+001dB,1.41883242144118e+002°)
1.14815362149687e+003	(-3.09293276258086e+001dB,1.41191454699871e+002°)
1.17489755493952e+003	(-3.05994020042653e+001dB,1.40493546259710e+002°)
