Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
122461.6199265049,-72.78212530167733,364.1993667993995
124165.2307592411,-72.67735137426295,359.313892156029
125892.5411794167,-72.60329127709318,355.2371659249418
127643.8808811344,-72.30890003068825,349.8418970307991
129419.5841449986,-72.12407769340996,346.4397800297008
131219.9899019203,-72.05258192258657,342.4689241896356
133045.4417978091,-71.75295707670983,337.1348852965883
134896.2882591654,-71.66781525086002,333.496069203636
136772.8825595849,-71.34203407087381,328.7007417933191
138675.5828871889,-71.09071492573457,324.8785837612222
140604.7524129914,-71.04557650937869,320.5204463356994
142560.7593602188,-70.77203677445938,316.6537198115919
144543.9770745928,-70.69947924511159,312.1885676074491
146554.7840955912,-70.26293882540772,308.7895295402454
148593.5642287007,-70.15552157431686,304.2615796783625
150660.7066186742,-69.85239555842323,301.4252971745045
152756.6058238073,-69.70255306703319,297.1762350905254
154881.6618912482,-69.43368034523422,293.7194036593615
157036.2804333553,-69.32619675312547,290.1349424634825
159220.872705117,-69.00072863029989,286.7964158640042
161435.8556826487,-68.86891731910757,282.9040200035376
163681.6521427809,-68.54603115231265,279.4036975162691
165958.6907437561,-68.47230168889027,276.3714486523687
168267.4061070468,-68.18255370394191,272.599291919681
170608.2389003124,-67.84394402118787,269.0258433016918
172981.6359215102,-67.65400515265488,266.3861806265326
175388.0501841762,-67.50474169838799,263.2887966843105
177827.9410038923,-67.17082962579579,260.1609331201389
180301.7740859569,-66.80119237293469,256.9399477160385
182810.0216142743,-66.62803332932121,253.7743336055336
185353.1623414812,-66.41030317810744,250.741187998008
187931.6816803269,-66.12407815373574,247.7428771703295
190546.0717963248,-65.88428713312136,244.8918055374886
193196.8317016925,-65.56198617848354,242.2644945277836
195884.4673505991,-65.3132007879787,239.3241135171211
198609.4917357372,-65.10049566479195,236.5111506979391
201372.4249862389,-64.68721049459447,234.5092795214024
204173.794466953,-64.48965159972356,230.5316748307399
207014.1348791043,-64.33149015536344,228.1546742746714
209893.9883623525,-64.0000709599875,226.2741720908229
212813.9045982713,-63.77704305054237,223.5003406134287
215774.4409152667,-63.42674731962555,221.0499161264798
218776.1623949553,-63.29352399873744,218.4973513010299
221819.641980022,-62.50768460842925,216.3707372021642
224905.4605835782,-62.34837356830116,215.0569205367765
228034.2072000419,-62.04879655862779,211.2565242897069
231206.4790175596,-61.87480077340928,208.6258117340998
234422.8815319923,-61.51976369497772,206.5261023189092
237684.0286624878,-61.48675224973345,204.3002643811372
240990.5428686596,-60.94580030129249,202.1583019076338
244343.0552693973,-60.64437754102742,200.3692236105518
247742.2057633287,-60.46968081833403,197.6653454282696
251188.6431509582,-60.07034489097212,196.0998941785731
254683.0252585042,-59.59658454888924,192.9612726018455
258226.0190634598,-59.21060865605555,191.3828713500717
261818.3008218987,-59.00230404874419,189.403650034737
265460.5561975541,-58.64526048456656,187.3245564118969
269153.4803926917,-58.27441391896018,185.6620501007056
272897.7782808042,-57.96133923834923,183.6215244091669
276694.1645411511,-57.62577609403388,181.4817211638595
280543.3637951713,-57.32495210543368,180.0523901101379
284446.1107447915,-56.89126756480226,177.587793099198
288403.1503126606,-56.4811505373835,176.7634462335904
292415.2377843335,-56.20344772893094,174.7314275398109
296483.1389524342,-55.82359464352623,173.2441133895532
300607.6302628231,-55.5933954724325,171.7296046011076
304789.4989627983,-55.07796010389033,169.953063322456
309029.5432513591,-54.72417739786862,168.3909460597857
313328.5724315585,-54.34268952718438,167.312732457639
317687.407064977,-53.92559930907844,165.1980251192157
322106.8791283434,-53.59772217185412,162.9926635905316
326587.8321723358,-53.32006573763386,161.7171146162261
331131.121482591,-52.82851483175395,160.4634117090398
335737.6142429546,-52.52232981463161,159.5464005002681
340408.1897010009,-52.27876817221509,157.3349796692902
345143.7393358562,-51.61831313634671,156.6617215286348
349945.1670283573,-51.46168631271769,154.4626535216694
354813.3892335755,-50.96815435765487,153.447295155333
359749.3351557423,-50.52893943116024,152.3628035782004
364753.9469256078,-50.34208018580224,151.0616633013067
369828.1797802662,-49.81624193639992,149.4001384016669
374973.0022454835,-49.63031890052684,148.1927602576038
380189.3963205612,-49.18395188902287,147.0251977492322
385478.3576657718,-48.67610474473227,145.9508546457292
390840.895792402,-48.2774642537028,144.8350821357004
396278.0342554395,-47.98186621950458,143.5615291049273
401790.81084894,-47.60550680972142,142.4908094860209
407380.2778041128,-47.10978368522199,141.0039405541535
413047.5019901614,-46.84786256050414,140.0560507171089
418793.5651179184,-46.37981604718495,138.7335875609794
424619.5639463129,-45.94625512093737,137.9105682236004
430526.6104917107,-45.49487995322485,137.164011028416
436515.832240166,-44.90452837341511,136.202136942591
442588.3723626266,-44.76567587849109,135.4455005260012
448745.3899331322,-44.26784695045933,134.2210168157885
454988.0601500487,-43.95955496653351,133.1437986344983
461317.5745603795,-43.57086523947448,132.0934148039719
467735.1412871983,-43.08590014704726,131.3610593099773
474241.9852602447,-42.98382846790072,130.477301797226
480839.3484497286,-42.54662456614798,129.6698097956049
487528.4901033865,-41.9678403886841,128.6859561137392
494310.6869868356,-41.69137213224231,128.0139338437303
501187.2336272725,-41.10045041760463,126.8487726673823
508159.4425605607,-40.88305647088961,126.0304133566425
515228.6445817567,-40.48793742690379,125.6856164315899
522396.18899912,-39.95718391965432,125.1344462776062
529663.443891658,-39.46225075060316,123.8525109538866
537031.7963702529,-39.0662807315355,123.1697286311718
544502.6528424214,-38.79852973885004,122.4123180281795
